latitude,longitude,r,ssr,ssrc,u100,v100,t2m,tcc
90,0.25,89.41943,3901952,6274048,-0.048553467,-0.05467987,267.40228,0.94984657
90,0.25,89.692566,7188480,11595264,-0.14212036,0.08260059,273.12262,0.8896974
90,0.25,94.99264,7710720,14106112,-0.059005737,-0.013103485,273.96082,0.9167328
90,0.25,96.00608,3457024,7885312,-0.09614563,-0.010055542,273.38394,0.9775238
90,0.25,95.06718,545542.4,1113952,-0.05291748,0.023846626,267.59406,0.98494
90,0.25,93.5836,8.64E-11,0,0.033050537,-0.10518932,264.99103,0.9921935
90,0.25,91.12416,8.64E-11,0,-0.12358093,-0.001883507,255.91605,0.9713288
90,0.25,96.01451,8.64E-11,0,-0.038360596,0.09784317,251.56065,0.97630626
90,0.25,103.1384,8.64E-11,0,0.008687019,-0.09725475,245.55225,0.95796156
90,0.25,101.41443,8.64E-11,0,0.106292725,0.02999115,246.22495,0.9577486
90,0.25,105.45253,150533.81,171488,-0.28315735,-0.114593506,244.78732,0.88476384
90,0.25,98.90222,1819136,2723840,-0.13061523,-0.08569431,255.72617,0.92648506
90,0.25,92.748405,3961856,6321152,-0.27886963,-0.0791626,267.32465,0.88279885
90,0.25,94.41454,6208512,11322880,-0.112960815,-0.018918037,273.71692,0.91965777
90,0.25,97.70988,6984192,14305792,-0.082611084,-0.10964966,274.05103,0.97932434
90,0.25,95.334656,4031488,8333824,0.044403076,-0.001983643,272.98328,0.93688965
90,0.25,95.018974,595494.4,1161124.2,0.061065674,0.017922401,268.6371,0.97938514
90,0.25,96.48031,8.64E-11,0,-0.09642029,0.010417938,260.24786,0.980042
90,0.25,100.31198,8.64E-11,0,-0.11627197,-0.07031727,251.93031,0.9009516
90,0.25,98.760086,8.64E-11,0,-0.15100288,0.08344078,250.39412,0.8955413
90,0.25,101.32625,8.64E-11,0,-0.27482033,0.006515503,247.01942,0.91894555
90,0.25,101.77312,8.64E-11,0,-0.10951233,0.09673309,246.25792,0.74035347
90,0.25,100.05876,122174.625,187640.75,-0.08833313,0.11706638,246.71725,0.9056043
90,0.25,97.365555,1685504,2952192,0.11557007,0.15705872,256.58112,0.97730196
90,0.25,89.85353,3914240,6352384,-0.0856781,0.011053085,267.11526,0.90993965
90,0.25,93.8118,6307328,11265536,-0.08369446,-0.022266388,273.73727,0.9287648
90,0.25,99.28036,6377472,14798336,-0.15184021,-0.023386955,274.16138,0.9977829
90,0.25,97.29744,3653632,8587776,-0.16793823,-0.064359665,273.5343,0.9816575
90,0.5,103.26296,8.64E-11,0,0.041366577,0.0777235,243.49611,0.90456456
90,0.5,91.62923,8.64E-11,0,-0.12639904,0.12836361,246.39061,0.89045036
90,0.5,97.7593,146285.19,164442.75,-0.29414368,0.085632324,245.14973,0.7526437
90,0.5,95.58154,1546240,2701312,0.1873169,0.1390419,258.1126,0.9719689
90,0.5,91.4948,4299776,6127616,0.007873535,-0.061138153,267.53162,0.8767754
90,0.5,94.28937,6740480,11743232,-0.14099121,-0.063337326,273.5232,0.9097215
90,0.5,95.72241,7331840,15481344,0.20513916,0.19039631,273.76062,0.9680176
90,0.5,96.02831,4008448,8690688,0.098083496,-0.001121521,273.3562,0.9799249
90,0.5,96.4111,469683.94,918336.1,0.07901001,0.035202026,267.13214,0.9856666
90,0.5,90.43381,8.64E-11,0,-0.16786194,0.10584831,259.0741,0.9646977
90,0.5,101.41111,8.64E-11,0,-0.065475464,-0.019248009,249.29697,0.9449623
90,0.5,102.21598,8.64E-11,0,-0.22810364,-0.008804321,247.17279,0.91901165
90,0.5,97.31434,8.64E-11,0,-0.120147705,0.059189796,247.39171,0.92217714
90,0.5,98.95719,8.64E-11,0,0.12986755,-0.11307526,248.18298,0.89922816
90,0.5,98.18992,115265.81,166215.38,0.07234192,0.10740852,250.11636,0.9523512
90,0.5,95.18539,1771520,2869248,-0.09048462,0.030668259,256.9944,0.98462474
90,0.5,89.259796,4451328,6589952,-0.041412354,0.062090874,266.19586,0.9053207
90,0.5,94.00641,6984192,11872768,0.07054138,0.016449928,273.62704,0.88793945
90,0.5,94.05588,8052224,15007744,-0.06474304,-0.07777405,273.9041,0.9407654
90,0.5,97.61925,3940864,8781312,-0.10183716,0.032328606,272.3972,0.9651184
90,0.5,95.05448,410135.47,908377.56,0.11036682,0.033311844,265.14514,0.97257996
90,0.5,95.49419,8.64E-11,0,-0.11116028,0.07308006,259.0161,0.97046345
90,0.5,100.55794,8.64E-11,0,-0.03489685,0.07237148,252.8735,0.9687488
90,0.5,97.704735,8.64E-11,0,-0.06799412,0.13459682,252.5183,0.98701274
90,0.5,96.536705,8.64E-11,0,0.117486954,0.06613064,254.08817,0.97970724
90,0.5,100.29886,8.64E-11,0,-0.16454506,0.005112648,251.90945,0.98356825
90,0.5,99.026764,172671.5,218889.31,-0.18417358,-0.000880241,250.61865,0.9712712
90,0.5,92.109184,2020864,2993152,-0.11143494,-0.00852108,256.89908,0.94122523
90,0.5,90.18824,4111872,6494208,-0.3100891,-0.021637917,265.30377,0.92683053
90,0.5,94.0751,6744576,11564544,0.02798462,-0.029088974,273.7848,0.89868164
90,0.5,97.22728,6511104,14734336,-0.022369385,-0.013594627,273.9203,0.9858572
90,0.5,95.771675,3562496,8041472,-0.20541382,-0.020774841,273.11798,0.9732361
90,0.5,95.32638,350585.56,839865.56,0.091156006,-0.010612488,268.74255,0.98481774
90,0.5,94.72861,8.64E-11,0,-0.035339355,0.13038158,257.8967,0.9717493
90,0.5,93.90722,8.64E-11,0,0.073272705,-0.011245728,255.74634,0.95429707
90,0.5,99.96533,8.64E-11,0,-0.04270935,0.029226303,251.11473,0.96718675
90,0.5,97.99246,8.64E-11,0,-0.29234314,-0.07414627,249.271,0.74062824
90,0.5,108.0216,8.64E-11,0,-0.035654068,-0.02107811,243.75313,0.8609866
90,0.5,81.74127,124416.19,173540.06,-0.1663971,-0.096232414,248.75317,0.7738581
90,0.5,98.13885,1586688,2732544,0.110839844,0.13171673,257.3147,0.96389484
